Class 0
s2601a 509.074 509.454
s2502b 519.141 519.481
s0102a 551.849 552.209
s2503a 500.517 501.257

Class 42
s0102b 58.5782 58.9682
s0102b 77.3134 77.7634
s0102b 82.1496 82.6196
s2501b 127.054 127.794
s2503a 102.991 103.321
s0101a 146.635 147.069
s3103a 186.508 186.879
s0102a 208.745 209.165
s0102b 276.001 276.331
s0102b 276.868 277.268
s0103a 271.749 272.119
s0102a 253.426 253.806
s0102a 317.958 318.633
s0103a 347.714 348.614
s0101a 267.37 268.03
s0103a 359.368 359.888
s2502a 358.722 359.192
s0103a 397.443 398.013
s0102a 334.237 335.007
s0103a 403.502 404.162
s0102a 344.346 344.716
s0102a 350.709 351.859
s2503b 324.357 324.687
s0101b 314.585 315.065
s0101a 344.079 344.489
s2503b 367.889 368.229
s2602a 496.761 497.361
s3102b 513.891 514.591
s0102a 538.868 539.218
s3101a 508.005 509.055
s0102a 560.501 561.191
s3101a 590.32 590.73

Class 43
s0101a 146.63 147.61
s0102b 454.418 455.338

Class 44
s0101a 146.84 147.21
s0102a 202.898 203.548

Class 45
s2503a 12.0828 12.4428
s3102b 60.5771 60.9271
s2502a 195.286 195.716
s0101a 147.813 148.163

Class 46
s0101a 150.359 150.849
s0102a 212.868 213.548

Class 47
s0101a 150.629 150.979
s2602b 252.66 253.32

Class 48
s0101a 158.544 158.884
s0102b 506.888 507.288

Class 49
s0101a 159.304 159.694
s0102a 314.787 315.347

Class 50
s0101a 160.224 160.654
s0102a 265.889 266.229

Class 51
s0101b 89.8156 90.1356
s0101a 162.139 162.479

Class 52
s0102b 56.3664 56.9464
s0103a 183.966 184.496
s0101a 162.434 162.849

Class 53
s0101a 165.689 166.469
s0103a 388.044 388.494

Class 54
s0103a 54.8769 55.7369
s0101a 166.059 166.469
s0102b 508.448 509.298

Class 55
s0102b 150.431 151.391
s0101a 167.024 167.469
s2502b 525.863 526.683

Class 56
s0102b 82.3196 83.2196
s0101a 197.952 198.287
s0102a 540.158 540.508

Class 57
s0102a 213.288 213.988
s0101a 210.862 211.341
s0102b 440.061 440.471

Class 58
s0102b 157.033 157.383
s0101a 225.7 226.1

Class 59
s0101a 225.79 226.32
s0102a 498.923 499.373

Class 60
s2603b 54.3316 54.6416
s0101a 227.29 227.63
s3102b 391.977 392.317
s2602a 491.572 491.922

Class 61
s0101a 229.43 230.47
s3102b 267.68 269.01

Class 62
s3103a 18.6041 18.9441
s2302b 10.4988 10.8488
s3102a 34.9933 35.3233
s0102b 88.0052 88.4152
s0102b 90.4592 90.8393
s2602a 100.899 101.584
s2602b 70.2313 70.6012
s3102a 79.1172 79.4372
s3102a 89.6522 90.3023
s2603b 65.9026 66.2926
s2502a 111.874 112.334
s3102b 108.272 108.652
s3101a 128.907 129.307
s3103a 172.9 173.27
s3101a 145.338 145.678
s2602a 246.936 247.251
s3302a 191.683 192.063
s3101a 154.91 155.35
s2502b 200.128 200.458
s3302b 248.796 249.316
s3001a 265.072 265.462
s3102b 238.997 239.427
s3001b 275.062 275.442
s0101a 229.981 230.36
s2503a 226.704 227.014
s0102b 349.581 350.561
s3101b 356.067 356.437
s2502b 392.295 392.815
s0101a 332.972 333.317
s0102a 369.875 370.205
s2601a 430.943 431.553
s0101b 392.53 392.86
s2902b 335.906 336.336
s0102a 422.898 423.548
s0102b 506.808 507.338
s0102b 508.628 508.948
s2601a 500.301 500.681
s3101a 451.15 451.56
s3102a 499.513 499.893

Class 63
s0101a 229.78 230.99
s0102b 333.796 334.406

Class 64
s3103a 18.6041 18.9441
s2302b 10.4988 10.8488
s3102a 34.9933 35.3233
s2601a 100.843 101.193
s2602b 70.2313 70.6012
s3102a 79.1172 79.4372
s2603b 65.9026 66.2926
s2502a 111.874 112.334
s2702b 110.443 110.803
s2603a 185.199 185.509
s3101a 128.907 129.307
s3303b 139.817 140.337
s2602a 246.936 247.251
s3302a 191.683 192.063
s2502b 200.128 200.458
s0101a 230.051 230.43
s2503a 226.704 227.014
s3101b 356.067 356.437
s3102a 364.092 364.402
s0102a 369.875 370.205
s2602a 433.114 433.444
s2902b 335.906 336.336
s2601a 500.301 500.681
s3101a 451.15 451.56
s3102a 499.513 499.893

Class 65
s2703b 18.8199 19.2899
s2601b 148.047 148.387
s0101a 230.3 230.655
s2301b 310.454 310.864
s2301b 454.961 455.291

Class 66
s2703b 11.4139 11.7539
s3001a 122.71 123.07
s0103a 148.521 149.141
s2702b 123.229 123.539
s2603a 220.008 220.498
s0101a 230.787 231.125
s3102b 564.987 565.308
s2701a 598.169 598.529
s2301b 322.694 323.014

Class 67
s0101a 230.981 231.391
s0103a 285.019 285.629

Class 68
s3102a 34.9833 35.3233
s2502a 111.804 112.284
s2601a 165.564 165.914
s3103a 155.454 155.894
s3101a 128.907 129.287
s2602a 246.911 247.276
s3302a 191.623 192.023
s3101b 222.818 223.128
s2501a 240.578 240.968
s0101a 232.166 232.541
s3101b 356.047 356.427
s2603a 412.094 412.414
s2601a 406.007 406.366
s2602a 433.094 433.444
s2503b 374.388 374.748
s2602b 544.122 544.632

Class 69
s2501a 240.578 240.968
s0101a 232.221 232.741
s2302a 271.57 272.65

Class 70
s0101a 232.426 232.886
s2302b 225.046 225.476

Class 71
s0101a 235.27 235.62
s2501a 508.354 508.714

Class 72
s0102a 58.3846 58.9946
s0101a 237.402 238.272

Class 73
s0102a 200.98 201.7
s0101a 237.469 237.855
s0101a 396.434 396.854
s0102a 446.053 446.643

Class 74
s3101b 245.842 246.362
s0101a 237.592 238.072

Class 75
s2601a 100.873 101.193
s0101a 239.174 239.548
s2601b 289.602 289.942
s0102a 331.441 331.811

Class 76
s0101a 239.864 240.554
s0102b 347.871 348.361

Class 77
s0101a 240.414 240.844
s2501b 439.325 439.725

Class 78
s2603b 220.72 221.04
s0102a 259.382 259.692
s0101a 243.229 243.646
s0102a 468.387 468.917

Class 79
s0103a 142.489 142.869
s0102b 306.993 307.503
s0101a 243.986 244.48
s0102b 419.21 419.74
s0101a 325.662 326.752
s3101a 519.034 519.344

Class 80
s0103a 173.391 173.871
s2602b 260.21 260.69
s0101a 244.104 244.684
s2501b 324.408 324.728
s2603b 376.759 377.519
s2502a 439.467 440.007
s0101a 415.332 415.993
s2501b 445.38 445.83

Class 81
s0102b 299.88 300.37
s0101a 246.191 246.641

Class 82
s0101a 266.89 267.25
s2303a 350.546 350.996

Class 83
s0101a 267.2 268.02
s0102a 560.321 561.141

Class 84
s2501b 31.937 32.267
s0101a 267.56 267.975
s0102a 478.718 479.148

Class 85
s0101a 268.301 268.651
s3102a 499.513 499.883

Class 86
s0103a 15.4481 16.4081
s0103a 37.5783 37.9683
s2502b 192.622 193.022
s0101a 269.234 269.81
s0103a 359.448 360.028
s0102a 334.287 335.237
s0102b 458.902 459.432
s0102a 423.058 423.598
s0102a 459.011 459.651
s2503b 469.352 469.732
s0101a 577.999 578.409

Class 87
s0103a 188.685 189.175
s2502b 192.622 193.022
s0102b 275.751 276.431
s0101a 269.154 269.589
s2503b 469.352 469.732

Class 88
s0102b 89.9892 90.4393
s0102a 131.415 131.805
s0102b 269.593 269.923
s0102b 312.133 312.833
s0101a 269.502 269.874

Class 89
s3101a 142.202 142.582
s3102b 186.783 187.163
s0101a 272.657 272.982

Class 90
s3302a 159.425 160.115
s0101a 273.5 273.88

Class 91
s0101a 289.502 290.005

Class 92
s0103a 270.081 270.501
s0101a 278.722 279.169
s0102a 471.852 472.272
s0101a 567.595 567.965

Class 93
s0103a 119.88 120.371
s0103a 162.361 162.711
s0102b 311.973 312.493
s0101a 281.033 281.614
s2603a 412.074 412.604
s0102b 413.698 414.138
s0102b 419.34 419.76
s0102a 369.745 370.225
s0102b 454.798 455.298
s0102a 417.468 417.978

Class 94
s2602b 112.616 113.016
s2601a 254.034 254.444
s3102b 186.763 187.133
s0103a 287.124 287.734
s0101a 282.252 282.94
s0102a 476.668 477.018

Class 95
s2603b 87.7602 88.2002
s3101a 99.9428 100.513
s2503a 142.092 142.602
s0103a 251.208 251.648
s0102b 326.943 327.383
s2502b 358.149 358.459
s0101a 282.582 282.984
s0101a 297.357 297.729
s0101a 301.972 302.292
s0102a 538.888 539.248

Class 96
s0102a 212.808 213.228
s0101a 283.484 283.954

Class 97
s2502a 52.0632 52.6033
s0101a 284.25 284.56

Class 98
s2601b 149.855 150.365
s0103a 388.124 388.624
s0101a 284.791 285.188
s2902b 544.647 545.047

Class 99
s0102b 150.651 151.031
s0101a 287.048 287.418

Class 100
s0103a 180.784 181.104
s0101a 289.96 290.27

Class 101
s0101b 18.9384 19.3284
s0101a 291.498 291.938

Class 102
s2502a 355.252 355.793
s0101a 292.905 293.282
s2501b 439.345 439.755
s0102a 574.525 575.065

Class 103
s3101a 99.9428 100.513
s0102b 326.943 327.383
s0101a 297.359 297.747
s0101a 301.972 302.292
s0102a 538.888 539.248

Class 104
s0103a 58.446 59.086
s2502b 196.878 197.228
s2601a 198.083 198.473
s3102a 253.7 254.1
s0101a 301.738 302.221
s0101a 524.001 524.371
s2501b 527.111 527.651

Class 105
s0101a 319.147 319.557
s0102a 451.702 452.172

Class 106
s3101a 215.464 215.774
s0101a 326.302 326.662

Class 107
s2503b 44.3948 45.1148
s2502b 193.492 194.242
s2501b 232.108 233.148
s2603a 335.416 335.736
s2502a 372.035 372.535
s0101a 326.981 327.428
s2501a 404.082 404.572
s2602b 535.22 535.54
s2503a 466.967 468.017
s2501a 598.473 599.473

Class 108
s2601b 318.932 319.412
s0101a 327.192 327.532

Class 109
s0102a 143.012 143.442
s0101b 131.237 131.717
s0102b 275.761 276.401
s2502a 392.123 392.533
s0101a 338.586 339.008

Class 110
s0102a 58.7146 59.1746
s0101a 342.039 342.489

Class 111
s2501b 236.171 236.621
s0101a 342.529 342.999

Class 112
s2503a 102.631 103.411
s0102b 270.899 271.399
s0101a 343.364 344.044

Class 113
s0101a 343.329 344.429
s0102b 463.548 464.068

Class 114
s0103a 52.0434 52.4834
s2602b 138.558 138.928
s2603a 189.912 190.322
s2601b 178.338 178.678
s0101b 128.198 128.688
s0102a 203.028 203.418
s2501b 273.366 274.266
s0102a 341.605 341.945
s2502a 403.275 403.655
s0101b 351.936 352.276
s0101a 343.752 344.164
s2502a 439.667 439.997
s0101a 409.744 410.214
s0102b 547.119 547.569
s2503a 366.978 367.658
s2503a 451.197 451.537
s2503a 468.918 469.228

Class 115
s0103a 52.0434 52.4834
s0102b 82.2696 83.2496
s2602b 138.558 138.928
s0101b 128.198 128.688
s0102a 203.028 203.418
s2601a 332.709 333.099
s0102a 342.541 343.101
s0101b 351.936 352.276
s0101a 343.844 344.274
s2502a 439.667 439.997
s0101a 409.744 410.214
s0102a 462.457 462.807
s0102b 547.119 547.569
s0102a 551.549 551.879
s2503a 451.197 451.537
s2503a 468.918 469.228
s2501a 554.608 555.088

Class 116
s2603b 65.9326 66.2726
s3102b 119.07 119.74
s2603a 194.929 195.579
s2601b 152.891 153.401
s0101b 128.198 128.688
s0102b 273.056 273.926
s2601a 332.709 333.099
s0102a 342.541 343.101
s0101b 351.936 352.276
s0101a 343.945 344.47
s0102a 433.508 434.028
s0102b 508.288 508.778
s0102a 462.457 462.807
s2601a 503.102 503.862
s2502b 526.243 526.773
s0102a 551.549 551.879
s2501a 554.608 555.088

Class 117
s2001b 69.3236 69.6736
s2503b 61.9635 62.2735
s2503a 103.031 103.631
s2602b 259.91 260.28
s2602b 316.63 317.02
s2603b 358.393 358.723
s2502a 405.783 406.143
s0101a 357.889 358.221

Class 118
s0102a 132.646 133.036
s0103a 189.235 189.565
s0103a 221.963 222.423
s3102a 267.421 267.832
s0103a 293.711 294.131
s0101a 377.66 378.026
s0102a 485.707 486.067
s3101a 508.185 508.695

Class 119
s0102a 61.2767 61.7867
s0101a 392.791 393.481

Class 120
s0102b 333.966 334.276
s0101a 393.331 393.731

Class 121
s0102a 263.659 265.269
s0101a 394.674 396.544

Class 122
s0102b 201.802 202.601
s0101a 394.924 395.574

Class 123
s3102b 241.28 241.669
s3102a 263.414 263.884
s0101a 395.2 395.584
s3101b 495.313 495.653

Class 124
s0102b 135.8 136.72
s0102b 463.368 463.948
s0101a 395.499 396.394

Class 125
s0102a 131.475 131.805
s0102b 210.766 211.116
s0103a 166.056 166.626
s0102a 225.503 225.893
s0102b 329.659 330.069
s0102a 323.255 323.625
s0102a 372.455 372.825
s0101a 395.793 396.483
s2503b 444.429 444.849
s0102a 547.135 547.885

Class 126
s0102b 335.902 336.252
s0101a 395.774 396.204

Class 127
s0101a 395.884 396.784
s0102a 439.546 440.066

Class 128
s2601a 100.843 101.223
s0102b 93.0458 93.5958
s0101b 100.809 101.139
s2503a 142.312 142.622
s0101a 396.299 396.686

Class 129
s2502b 8.02388 8.47387
s2601a 100.843 101.223
s0102b 93.0458 93.5958
s2503a 142.312 142.622
s0101a 396.314 396.736

Class 130
s0101a 396.394 397.014
s0102a 574.725 575.035

Class 131
s0101b 40.4177 40.8877
s2001b 476.036 476.346
s2502b 393.995 394.645
s0101a 399.687 400.027
s0101a 547.179 547.635
s0102a 562.888 563.368
s2502a 574.966 575.286

Class 132
s0101a 403.336 403.806
s0102a 501.644 501.964

Class 133
s0101a 403.586 404.826
s0102a 478.428 479.128

Class 134
s0103a 63.2782 63.7882
s0101a 403.606 404.206

Class 135
s0101b 128.198 128.588
s2601b 316.602 317.092
s0101a 404.264 404.724
s0101a 414.952 416.101
s2601a 503.422 503.872

Class 136
s2501b 258.667 259.007
s0101a 404.566 405.286

Class 137
s0102b 89.8992 90.4493
s0102b 306.803 307.603
s0102a 343.986 344.806
s0101a 409.408 410.008

Class 138
s2503b 125.553 125.903
s0103a 189.265 189.735
s0102a 218.759 219.169
s0102a 227.312 227.623
s2602b 260.23 260.68
s0102a 325.552 326.002
s2502a 439.517 440.007
s0101a 409.671 410.053
s2501a 535.414 535.894

Class 139
s2503a 102.931 103.821
s0103a 189.265 189.735
s2602b 260.23 260.68
s0102a 349.769 350.489
s0101b 351.936 352.256
s2502a 439.517 440.007
s0101a 409.724 410.214
s0102a 478.598 479.158

Class 140
s3302a 159.525 160.135
s0101a 409.974 410.334

Class 141
s0102a 38.1467 38.5167
s0102a 49.8699 50.2899
s2502b 81.8281 82.2781
s0102a 138.149 138.619
s0103a 176.177 176.867
s0102a 207.905 208.685
s0103a 269.811 270.451
s2602b 260.21 260.69
s3102a 297.976 298.416
s2502a 415.432 415.772
s2502a 439.467 440.007
s0101a 414.068 414.52
s2602a 499.431 499.871

Class 142
s0103a 174.891 175.391
s0103a 176.177 176.867
s0103a 269.811 270.451
s0101a 413.218 413.695

Class 143
s2502a 246.739 248.029
s0101a 414.182 415.421

Class 144
s2502a 304.418 304.828
s0101a 414.632 415.031

Class 145
s0102a 261.368 262.278
s0102b 428.423 429.353
s0101a 414.832 415.841

Class 146
s2602b 252.64 253.37
s0103a 387.984 388.624
s0101a 414.877 415.551

Class 147
s0103a 180.684 181.104
s0102a 176.847 177.357
s2601a 267.11 267.61
s2502b 282.624 283.264
s0102b 395.158 395.717
s0101a 415.147 415.526

Class 148
s0102a 38.1467 38.5167
s0103a 173.391 173.871
s2602b 260.21 260.69
s2501b 324.408 324.728
s2502a 439.467 440.007
s3102b 439.578 440.058
s0101a 415.347 415.947
s2501b 445.38 445.83

Class 149
s0102a 38.1467 38.5167
s0103a 173.391 173.871
s2501b 324.408 324.728
s2603b 376.759 377.519
s2502a 439.467 440.007
s0101a 415.355 416.005
s2501b 445.38 445.83

Class 150
s0102b 147.619 147.989
s3101a 100.303 100.683
s2602b 138.568 139.008
s0101b 102.583 102.923
s3001a 170.75 171.14
s2501b 192.866 193.206
s2503a 142.402 142.712
s2502a 324.007 324.427
s0102b 350.341 350.751
s0102a 313.914 314.254
s3102a 345.678 346.159
s0102b 415.103 415.413
s0101b 314.695 315.015
s0102a 423.298 423.628
s2502a 456.265 456.595
s3102a 432.102 432.462
s0101a 415.675 416.07
s0102a 486.983 487.303
s0102a 551.859 552.179
s0102a 578.961 579.271

Class 151
s0102a 323.255 324.305
s0101a 459.872 460.502

Class 152
s0101a 467.153 467.693
s3101b 492.34 492.86

Class 153
s2603b 33.6452 33.9753
s2603a 129.538 129.888
s0102b 156.993 157.373
s0102a 208.435 208.805
s2603a 315.683 316.243
s0102b 506.888 507.308
s0101a 480.257 480.662

Class 154
s2502a 186.007 186.857
s2502b 212.069 212.529
s0101a 481.25 481.597
s2501a 554.668 555.128

Class 155
s2503a 9.21406 10.0441
s2602a 58.9106 59.4306
s2502a 32.4831 32.8531
s2502b 45.2384 46.0584
s2503b 36.3011 36.6811
s2502b 53.7176 54.6276
s2501b 82.9601 83.3901
s2503b 55.2773 55.6473
s2501b 85.8217 86.2717
s2503a 103.311 103.891
s2503a 107.862 108.322
s2602b 143.201 143.541
s0103a 157.907 158.547
s2602b 162.372 162.752
s2501a 180.099 180.589
s2502b 212.009 212.369
s0102b 273.706 274.146
s3102a 233.794 234.104
s2501a 198.852 199.342
s2502a 292.21 292.52
s2501b 273.656 274.136
s0102a 264.569 264.889
s2602a 331.797 332.177
s2503b 255.303 255.903
s0102a 303.116 303.496
s2601a 394.981 395.401
s3002a 413.447 413.787
s2602b 333.613 334.033
s0102a 344.226 344.846
s2603b 371.905 372.395
s2503b 329.153 329.563
s0102a 374.737 375.107
s2502a 405.483 406.043
s2501b 376.806 377.226
s2502a 415.362 415.842
s2502a 440.537 440.867
s2503a 327.647 328.177
s2503a 331.13 331.74
s2501b 439.265 439.685
s2703b 437.891 438.301
s2601a 512.165 512.865
s0101a 479.897 480.279
s2503b 414.333 414.643
s2502b 541.904 542.394
s2501a 499.733 500.283
s2502a 525.625 526.555
s2502a 531.27 531.61
s2503a 418.523 418.933
s2502a 538.161 539.071
s2503b 470.812 471.172
s2503a 513.777 514.332
s2501a 541.714 542.094
s2303b 350.056 350.436

Class 156
s2501a 227.005 227.315
s0101a 482.118 482.433
s0102a 574.715 575.095

Class 157
s0102b 440.061 440.441
s0101a 523.401 523.761

Class 158
s0102b 194.073 194.873
s0102b 214.683 215.193
s0103a 177.975 178.794
s0103a 357.282 357.792
s0102b 419.27 420.21
s0102a 372.325 372.795
s0102b 457.992 459.122
s0102a 429.807 430.917
s0101a 526.879 527.558

Class 159
s2602b 252.95 253.32
s0101a 526.748 527.168

Class 160
s0102b 60.2882 60.8182
